source,target,source_label,target_label,source_type,target_type,distance,source_base_queriability,pairwise_influence
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken,schema:root,Procedure undertaken,EHR Schema,canonical_group,root,20.12186305077616,0.02,6.110197493943438e-08
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken::Procedure_list,schema:root,Procedure list,EHR Schema,canonical_subgroup,root,21.12186305077616,0.02,3.286946754471795e-08
field:cf_0b6364bb149692,schema:root,Procedure,EHR Schema,field,root,24.849238362092265,0.39375,6.818196138950171e-08
field:cf_af0c9a7d79fe64,schema:root,Invaded regional linphonodes,EHR Schema,field,root,26.342636057136367,0.23173076923076924,1.589704898192128e-08
field:cf_e5c01940113606,schema:root,irradiated area 1,EHR Schema,field,root,30.109900796477774,0.1610576923076923,1.068884704646786e-09
field:cf_fc5be63ab59287,schema:root,irradiated area 2,EHR Schema,field,root,25.264601027937044,0.31490384615384615,4.214880500625998e-08
field:cf_821e1930333a5c,schema:root,irradiated area 3,EHR Schema,field,root,34.109900796477774,0.10336538461538461,5.744790562673421e-11
field:cf_c9b3a708f95249,schema:root,fields/insertions 1,EHR Schema,field,root,28.488978337559132,0.1923076923076923,3.486581392928782e-09
field:cf_bbec72e0a270f7,schema:root,fields/insertions 2,EHR Schema,field,root,26.903374634061795,0.23557692307692307,1.1415097858450589e-08
family:openEHR-EHR-COMPOSITION.hospitalisation.v1,schema:root,openEHR-EHR-COMPOSITION.hospitalisation.v1,EHR Schema,composition_family,root,2.401683351969219,0.02,0.0036094125985381385
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge,schema:root,Patient discharge,EHR Schema,canonical_group,root,10.52766703177675,0.02,2.3410635824644472e-05
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge::Components,schema:root,Components,EHR Schema,canonical_subgroup,root,11.52766703177675,0.02,1.2593621322422107e-05
field:cf_79ed78f34fef6f,schema:root,date of discharge,EHR Schema,field,root,13.971686134859702,0.8854166666666666,0.0001301710415460919
field:cf_be52992cb12705,schema:root,hospital infection,EHR Schema,field,root,20.01099943010398,0.13541666666666666,4.7084475232208675e-07
field:cf_1285e1e2c004f2,schema:root,claim reason,EHR Schema,field,root,14.790671895354533,0.39375,3.4838948284074394e-05
field:cf_80f721f9446bd3,schema:root,death indicator,EHR Schema,field,root,16.23147187104886,0.39375,1.4259737113444698e-05
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Authorization_for_hospital_admission,schema:root,Authorization for hospital admission,EHR Schema,canonical_group,root,6.9232847559114195,0.02,0.0002187451716543438
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Authorization_for_hospital_admission::Components,schema:root,Components,EHR Schema,canonical_subgroup,root,7.9232847559114195,0.02,0.00011767274834214648
field:cf_ba8421601b1980,schema:root,Issue date,EHR Schema,field,root,9.611161533727312,0.9270833333333334,0.0020352209274058543
field:cf_ba09c313b94cba,schema:root,ICU - Total,EHR Schema,field,root,10.377033497328659,0.39375,0.0005376413871546506
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission,schema:root,Patient admission,EHR Schema,canonical_group,root,9.255896673312947,0.02,5.150547247979437e-05
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission::Tree,schema:root,Tree,EHR Schema,canonical_subgroup,root,12.952381344405321,0.02,5.206290300475255e-06
field:cf_3db72fcc22b158,schema:root,Patient class,EHR Schema,field,root,21.499316779327778,0.13541666666666666,1.8712403210205652e-07
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission::Tree_/_Assigned_patient_location_/_Facility,schema:root,Tree / Assigned patient location / Facility,EHR Schema,canonical_subgroup,root,11.571968968314337,0.02,1.2252417210939293e-05
field:cf_9449e602105d68,schema:root,Universal ID,EHR Schema,field,root,12.571968968314337,0.7395833333333334,0.0002589674954640903
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission::Tree_/_Assigned_patient_location_/_Address,schema:root,Tree / Assigned patient location / Address,EHR Schema,canonical_subgroup,root,12.614901161281722,0.02,6.417991903952168e-06
field:cf_1d8359b2d21168,schema:root,State/province,EHR Schema,field,root,13.614901161281722,0.4875,8.941495230494276e-05
field:cf_10f7d6c8e1d5c5,schema:root,Admission type,EHR Schema,field,root,17.71978922027266,0.39375,5.667132302576464e-06
field:cf_2a67f6f1c22886,schema:root,Hospital service,EHR Schema,field,root,15.87841782367894,0.59375,2.6764480504606485e-05
field:cf_22f759c45e42f4,schema:root,Admit date/time,EHR Schema,field,root,15.53307424254153,0.9583333333333334,5.351307323972046e-05
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Problem/Diagnosis,schema:root,Problem/Diagnosis,EHR Schema,canonical_group,root,5.643521423968254,0.02,0.00048364961972213673
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Problem/Diagnosis::structure,schema:root,structure,EHR Schema,canonical_subgroup,root,6.643521423968254,0.02,0.000260176622674303
field:cf_2db2fd852fb674,schema:root,Problem,EHR Schema,field,root,8.682710550237195,0.9583333333333334,0.003741161758921975
field:cf_49398dcbba5447,schema:root,Secondary Diagnosis,EHR Schema,field,root,8.60581016883836,1.0815217391304348,0.004428243976563458
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Procedure_undertaken,schema:root,Procedure undertaken,EHR Schema,canonical_group,root,7.366563037790373,0.02,0.00016618056161540748
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Procedure_undertaken::Procedure_list,schema:root,Procedure list,EHR Schema,canonical_subgroup,root,8.366563037790373,0.02,8.939590875736753e-05
field:cf_18704e514938d4,schema:root,Procedure,EHR Schema,field,root,9.366563037790373,0.6770833333333334,0.001729800950684257
family:openEHR-EHR-COMPOSITION.demographic_data.v1,schema:root,openEHR-EHR-COMPOSITION.demographic_data.v1,EHR Schema,composition_family,root,2.576638336158122,0.02,0.0032383791873584014
group:openEHR-EHR-COMPOSITION.demographic_data.v1::Demographic_data,schema:root,Demographic data,EHR Schema,canonical_group,root,3.576638336158122,0.02,0.0017420680706618143
subgroup:openEHR-EHR-COMPOSITION.demographic_data.v1::Demographic_data::components,schema:root,components,EHR Schema,canonical_subgroup,root,4.576638336158123,0.02,0.0009371358285238089
field:cf_7f3b6795a0e812,schema:root,birth date,EHR Schema,field,root,7.5613471001975885,1.09375,0.008557544624306938
field:cf_e7551706658b4a,schema:root,gender,EHR Schema,field,root,8.700497140159605,0.39375,0.001520271646575837
field:cf_19e1b0f55ef007,schema:root,race,EHR Schema,field,root,15.359953829495023,0.1846590909090909,1.147965511826446e-05
field:cf_4122372d727029,schema:root,ethnic group,EHR Schema,field,root,19.359953829495023,0.1846590909090909,9.61343348289427e-07
field:cf_7ab0248b87b82e,schema:root,educational level,EHR Schema,field,root,10.5683110087883,0.39375,0.00047751697745841557
field:cf_eee397355aecbe,schema:root,nationality,EHR Schema,field,root,11.902193515153176,0.39375,0.0002088450438991981
schema:root,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,EHR Schema,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,root,composition_family,5.114493259294764,0.02,0.0006713953646121443
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,composition_family,composition_family,0.0,0.02,0.02
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,12.798587231345193,0.02,5.727160841480929e-06
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,components / General data,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,16.550868036473183,0.02,5.592301454229813e-07
field:cf_5cd62eaa6e16a8,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,21.44346766925407,0.5096153846153846,7.290176674658093e-07
field:cf_775d9002cb4e7b,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,21.347444887557266,0.425,6.452675049063796e-07
field:cf_b87e8363f020f7,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,21.70131437279264,0.425,5.181505754728665e-07
field:cf_8b431261fa7dca,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,22.637068676711227,0.425,2.900630223533048e-07
field:cf_16800b2d3f5ef6,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,20.924104158922642,0.49038461538461536,9.68004816027819e-07
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,5.139546228935461,0.02,0.0006610472628130047
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Components,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,6.139546228935461,0.02,0.0003556066980174409
field:cf_469c691048a0ce,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,8.102925924285675,0.4168269230769231,0.0023310949213220743
field:cf_49533263f29569,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,8.177558556604952,0.39375,0.0021024660295134085
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,9.99470430606618,0.02,3.2577678050335697e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,structure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,14.63801762136492,0.02,1.8308367009111201e-06
field:cf_bd9db9ae67063d,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,18.411694874928305,0.425,3.983156900445348e-06
field:cf_4e7e8ca2916a1e,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,17.939029897565852,0.425,5.339473122565029e-06
field:cf_0a229c157b8d2a,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,18.205281130610608,0.425,4.52696264777017e-06
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,15.007369791481395,0.02,1.4561190776104244e-06
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken::Procedure_list,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure list,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,16.007369791481395,0.02,7.833111582760167e-07
field:cf_0b6364bb149692,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,19.7347451027975,0.39375,1.624841992858011e-06
field:cf_af0c9a7d79fe64,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,21.228142797841606,0.23173076923076924,3.78842031263763e-07
field:cf_e5c01940113606,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,irradiated area 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,24.995407537183013,0.1610576923076923,2.5472554884599516e-08
field:cf_fc5be63ab59287,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,20.15010776864228,0.31490384615384615,1.0044467323508262e-06
field:cf_821e1930333a5c,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,irradiated area 3,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,28.995407537183013,0.10336538461538461,1.3690390766381524e-09
field:cf_c9b3a708f95249,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,23.374485078264367,0.1923076923076923,8.308860207738699e-08
field:cf_bbec72e0a270f7,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,fields/insertions 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,21.78888137476703,0.23557692307692307,2.7203280713848676e-07
family:openEHR-EHR-COMPOSITION.hospitalisation.v1,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,openEHR-EHR-COMPOSITION.hospitalisation.v1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,composition_family,composition_family,7.516176611263983,0.02,0.0001798574799413767
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,15.642160291071514,0.02,9.823620234555812e-07
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge::Components,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Components,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,16.642160291071512,0.02,5.284561862221795e-07
field:cf_79ed78f34fef6f,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,19.086179394154463,0.8854166666666666,5.4622646187988185e-06
field:cf_be52992cb12705,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,hospital infection,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,25.12549268939874,0.13541666666666666,1.9757686510062674e-08
field:cf_1285e1e2c004f2,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,claim reason,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,19.905165154649296,0.39375,1.461919274118113e-06
field:cf_80f721f9446bd3,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,death indicator,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,21.34596513034362,0.39375,5.983700874096591e-07
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Authorization_for_hospital_admission,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Authorization for hospital admission,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,12.037778015206184,0.02,9.17903089250088e-06
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Authorization_for_hospital_admission::Components,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Components,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,13.037778015206184,0.02,4.937808611130528e-06
field:cf_ba8421601b1980,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,14.725654793022077,0.9270833333333334,8.540236853886992e-05
field:cf_ba09c313b94cba,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,ICU - Total,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,15.491526756623424,0.39375,2.2560620947454727e-05
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient admission,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,14.370389932607711,0.02,2.161283467193269e-06
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission::Tree,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Tree,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,18.066874603700086,0.02,2.1846744841026552e-07
field:cf_3db72fcc22b158,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient class,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,26.613810038622546,0.13541666666666666,7.852137985053411e-09
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission::Tree_/_Assigned_patient_location_/_Facility,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Tree / Assigned patient location / Facility,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,16.686462227609102,0.02,5.141385075449185e-07
field:cf_9449e602105d68,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Universal ID,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,17.686462227609102,0.7395833333333334,1.0866848502487912e-05
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission::Tree_/_Assigned_patient_location_/_Address,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Tree / Assigned patient location / Address,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,17.729394420576487,0.02,2.693131259019847e-07
field:cf_1d8359b2d21168,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,State/province,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,18.729394420576487,0.4875,3.7520490315346518e-06
field:cf_10f7d6c8e1d5c5,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Admission type,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,22.834282479567428,0.39375,2.3780539741209825e-07
field:cf_2a67f6f1c22886,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Hospital service,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,20.992911082973706,0.59375,1.123096759190306e-06
field:cf_22f759c45e42f4,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Admit date/time,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,20.647567501836296,0.9583333333333334,2.245526832456152e-06
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Problem/Diagnosis,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,10.758014683263019,0.02,2.0295007048616785e-05
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Problem/Diagnosis::structure,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,structure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,11.758014683263019,0.02,1.0917586152748111e-05
field:cf_2db2fd852fb674,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,13.79720380953196,0.9583333333333334,0.00015698741645027688
field:cf_49398dcbba5447,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,13.720303428133125,1.0815217391304348,0.00018581890495227214
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Procedure_undertaken,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,12.481056297085136,0.02,6.9733036723267205e-06
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Procedure_undertaken::Procedure_list,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure list,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,13.481056297085136,0.02,3.7512499221866787e-06
field:cf_18704e514938d4,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,14.481056297085136,0.6770833333333334,7.258627124944315e-05
family:openEHR-EHR-COMPOSITION.demographic_data.v1,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,openEHR-EHR-COMPOSITION.demographic_data.v1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,composition_family,composition_family,7.691131595452886,0.02,0.00016136883878800233
group:openEHR-EHR-COMPOSITION.demographic_data.v1::Demographic_data,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Demographic data,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_group,composition_family,8.691131595452886,0.02,7.310102671757272e-05
subgroup:openEHR-EHR-COMPOSITION.demographic_data.v1::Demographic_data::components,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,components,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,canonical_subgroup,composition_family,9.691131595452886,0.02,3.932429070517793e-05
field:cf_7f3b6795a0e812,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,birth date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,12.675840359492351,1.09375,0.0003590934870763285
field:cf_e7551706658b4a,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,gender,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,13.814990399454366,0.39375,6.379395852889317e-05
field:cf_19e1b0f55ef007,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,race,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,20.474447088789788,0.1846590909090909,4.817117021093021e-07
field:cf_4122372d727029,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,ethnic group,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,24.474447088789788,0.1846590909090909,4.034009174013996e-08
field:cf_7ab0248b87b82e,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,educational level,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,15.682804268083064,0.39375,2.0037667824323858e-05
field:cf_eee397355aecbe,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,nationality,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,field,composition_family,17.01668677444794,0.39375,8.763599649758827e-06
schema:root,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,EHR Schema,HCPA,root,canonical_group,17.913080490639956,0.02,2.403243275849054e-07
